Date,New Delhi,Mumbai,Kolkata,Chennai
2025-01-31,0.6207405140994736,0.20005690215656963,,
2025-02-01,,,,0.22018936292234553
2025-02-02,1.0834531423837739,0.33449172130142785,,
2025-02-03,0.3754642486326324,,0.7605658775032724,0.1420733869878984
2025-02-05,0.28082017205293897,0.22596501294414864,0.6301726551110148,0.3069446370618366
2025-02-06,,0.3741797509404043,0.8534104566096246,
2025-02-07,0.19163579446507478,0.4442476864216144,,0.4012434714790606
2025-02-08,,,0.21733711289549143,
2025-02-09,0.28539213055989865,0.4583668038971798,,
2025-02-10,,,0.3937287213501077,
2025-02-11,0.32556023321020705,0.3116189506646369,,
2025-02-12,,,0.9097985891237343,0.21699571564903553
2025-02-13,0.20013496785668783,0.10892936740044411,,
2025-02-14,,,0.22861957086343623,0.12287128270483268
2025-02-15,0.36094984597109697,0.07516941990756612,0.29531472416698135,
2025-02-16,0.512558076564403,,0.30471204505151434,0.28217846372803007
2025-02-18,0.36915152652519884,0.12119816139434428,0.8636411475747608,0.3854080701879858
2025-02-19,,0.09544493340703297,1.5152255853342966,
2025-02-20,0.4937650000684437,0.1363702609141159,,0.29629327464053146
2025-02-21,,,0.440218853802036,
2025-02-22,0.570377335323744,0.11960134743306601,,0.3517214248629025
2025-02-23,,,0.8255069251421431,0.2947473540551793
2025-02-24,0.3796605814147248,0.16837757069758366,,
2025-02-25,,,1.4887334750043761,0.3228845219893804
2025-02-28,0.3697344420588784,0.46230054978791507,0.6918968828537004,
2025-03-01,1.1030682550465807,,0.4576120703086454,
2025-03-02,0.1904725186835679,0.4143666683095919,0.7290886711356054,
2025-03-03,0.35728632108420133,0.30242261365926915,0.5094927114853303,0.2439130816077548
2025-03-04,,0.1471461051427238,0.1756344422739636,
2025-03-05,0.16234811477798194,0.11621201263853839,,1.0453819754293097
2025-03-06,,,0.15509384660629244,
2025-03-07,0.2508779211278404,0.09992440410563347,,0.22899441320517355
2025-03-08,,,0.451394240452585,0.23547993878582263
2025-03-09,0.2786859954550295,0.1822875699637031,,
2025-03-10,,,0.35614205273802874,0.21405324916231785
2025-03-11,1.1902920542912856,0.34791675188289745,,
2025-03-12,0.33954196634385647,,0.22201978684883117,
2025-03-13,0.4350174544690778,0.3963019730318991,0.4236070877980747,
2025-03-14,0.33967285582702317,,0.5486027069998402,0.19574502624082105
2025-03-15,1.2190387217552159,0.5581321591282075,0.6121010678931064,
2025-03-16,0.27663192746660015,0.5480061767516017,0.5514183749845183,0.1555652644984549
2025-03-17,,0.22110070800639994,1.076486092940576,
2025-03-18,0.22597872259613275,0.15042306889187904,,0.11837687188030906
2025-03-19,,,0.4596432692008189,
2025-03-20,0.31821797425654647,0.30141731693851576,,0.050287427005918935
2025-03-21,,,0.993877594397139,0.14669366974395473
2025-03-22,0.38676346473656126,0.12708924007709144,,
2025-03-23,,,1.242749039318358,0.4344109086538991
2025-03-24,0.2611813226667341,0.2831579956747233,,
2025-03-25,,,0.5822701158343302,0.2791656176929591
2025-03-26,0.2592282624395018,0.3026064448455522,0.4592099093765993,
2025-03-27,0.42917297429876594,,0.26260873668826573,0.2798923872266722
2025-03-28,0.13991910073199876,0.39836458834858895,0.26631026649501477,
2025-03-29,1.1647032030498337,0.6731829304939392,0.34804434626950403,0.3712467480199332
2025-03-30,,0.7074012487504142,0.6401432693564819,
2025-03-31,0.12699081626601974,0.7306976639814478,,0.5622835610414806
2025-04-01,,,0.5129545553447873,
2025-04-02,0.24841591372634658,0.6770416481790121,,
2025-04-03,,,0.6084289221644493,
2025-04-04,0.29565464079704196,0.6230053304846204,,
2025-04-05,,,0.41919204594194165,0.4063116989426338
2025-04-06,0.2555173929566327,0.2391857919619213,,
2025-04-07,,,0.4471962117820256,0.31329439537666953
2025-04-08,0.39144047778486696,0.3453557539117782,0.7220070232878198,
2025-04-09,0.4903219244684254,,0.30330437671811505,0.31560968393751526
2025-04-10,0.7140947166293582,0.466262888151205,0.5300615630239037,
2025-04-11,0.4393438279886833,0.3739304841995059,0.29723995567469047,0.7062872509569046
2025-04-12,,0.18130546140789833,1.1868083614611813,
2025-04-13,0.3850474405902071,0.22245631224322737,,0.5644778003759191
2025-04-14,,,1.6794705820490041,
2025-04-15,0.5819805286287659,0.1808747252083538,,0.7318606684531329
2025-04-16,,,0.8585135622494886,
2025-04-17,0.35599893027731405,0.2282983077664904,,
2025-04-18,,,1.5340984025885505,0.8559122617688465
2025-04-19,0.4554586721089586,0.2997177022602967,,
2025-04-20,0.4229454552994094,,1.1252795516616543,0.5138725562255303
2025-04-21,0.3725069305817348,0.35700411450704145,,
2025-04-22,0.2695237998625316,,0.737614044921174,0.3998922047341073
2025-04-23,0.24459966762147145,0.5879680969732539,,
2025-04-24,0.22248860074213198,0.4805103524836613,0.4704371972721571,0.2214655272455392
2025-04-25,,0.5088926860923001,0.7957386762529881,
2025-04-26,0.5656862973823317,0.5606030346990535,,0.3724142266161065
2025-04-27,,,0.7882454836578178,
2025-04-28,0.521192471049632,0.17719379092755236,,
2025-04-29,,,0.5644837477467222,0.3685820154463903
2025-04-30,0.5343884342669908,0.24762755040306714,,
2025-05-01,,,0.4983883680511063,0.733523184082402
2025-05-02,1.0635170053343896,0.15554782807613074,,
2025-05-03,,,0.5858203863465402,0.3190538378410141
2025-05-04,1.1329529669152862,0.24674773692169485,0.985816219838636,
2025-05-05,1.6123390334046146,,0.6810488766865775,0.9210025761046918
2025-05-06,0.7748881895276732,0.2348954647554745,1.3419233642859048,
2025-05-07,0.9655717659237882,,1.0649071610639211,0.7717736316846535
